OccNet chamfer-L1,OccNet chamfer-L2,OccNet normal consistency,OccNet f-scores,DeepSDF chamfer,VIoU,Dice,pred_is_watertight,pred_is_volume,num_vertices,num_faces,case_name,seed,npy_path,gt_mesh_path,final_loss,model_type,hidden_features,hidden_layers,first_w0,hidden_w0,lr,epochs,batch_size,grid_res,status
0.00362339584469593,7.821199375628658e-05,0.9669188846613075,0.9594158797161585,0.00015642398751257317,0.9645196795463562,0.9819394474144995,False,False,93193,186302,s0213,2024,/home/bsc18/workplace/dataset/Totalsegmentator_dataset_v201_Liver/ok/sampled_20000/npy/3D_Reconstruction/s0213_Segment_1.npy,/home/bsc18/workplace/dataset/Totalsegmentator_dataset_v201_Liver/ok/sampled_20000/mesh/s0213_Segment_1.stl,0.058702423471212385,siren,128,3,15.0,15.0,5e-05,200,2048,256,ok
0.003369430512855094,4.091782521011513e-05,0.9807687913386665,0.9829614929335361,8.183565042023027e-05,0.9797276258468628,0.9897600271658701,True,False,170128,340172,s0220,2024,/home/bsc18/workplace/dataset/Totalsegmentator_dataset_v201_Liver/ok/sampled_20000/npy/3D_Reconstruction/s0220_Segment_1.npy,/home/bsc18/workplace/dataset/Totalsegmentator_dataset_v201_Liver/ok/sampled_20000/mesh/s0220_Segment_1.stl,0.060491375529766085,siren,128,3,15.0,15.0,5e-05,200,2048,256,ok
0.004452715895871768,0.0001251617276171162,0.9743172018413955,0.9550436384918873,0.0002503234552342324,0.9747267961502075,0.987201683539984,False,False,150380,300656,s0232,2024,/home/bsc18/workplace/dataset/Totalsegmentator_dataset_v201_Liver/ok/sampled_20000/npy/3D_Reconstruction/s0232_Segment_1.npy,/home/bsc18/workplace/dataset/Totalsegmentator_dataset_v201_Liver/ok/sampled_20000/mesh/s0232_Segment_1.stl,0.05688619719743729,siren,128,3,15.0,15.0,5e-05,200,2048,256,ok
0.00430761203350517,0.00010555054533214903,0.9678184167372096,0.9480506365392816,0.00021110109066429806,0.9655152559280396,0.9824551143975058,True,False,108550,216976,s0235,2024,/home/bsc18/workplace/dataset/Totalsegmentator_dataset_v201_Liver/ok/sampled_20000/npy/3D_Reconstruction/s0235_Segment_1.npy,/home/bsc18/workplace/dataset/Totalsegmentator_dataset_v201_Liver/ok/sampled_20000/mesh/s0235_Segment_1.stl,0.05975431404709816,siren,128,3,15.0,15.0,5e-05,200,2048,256,ok
0.00405463952566597,0.00010050727375981368,0.9721652059050195,0.9562890009555488,0.00020101454751962736,0.9740003943443298,0.9868289764097771,True,False,129732,259360,s0238,2024,/home/bsc18/workplace/dataset/Totalsegmentator_dataset_v201_Liver/ok/sampled_20000/npy/3D_Reconstruction/s0238_Segment_1.npy,/home/bsc18/workplace/dataset/Totalsegmentator_dataset_v201_Liver/ok/sampled_20000/mesh/s0238_Segment_1.stl,0.05547876163125038,siren,128,3,15.0,15.0,5e-05,200,2048,256,ok
0.0032318220995685744,4.332248201862612e-05,0.9718641915961828,0.9742965990191451,8.664496403725224e-05,0.9730972051620483,0.9863651950696491,True,False,123477,246874,s0239,2024,/home/bsc18/workplace/dataset/Totalsegmentator_dataset_v201_Liver/ok/sampled_20000/npy/3D_Reconstruction/s0239_Segment_1.npy,/home/bsc18/workplace/dataset/Totalsegmentator_dataset_v201_Liver/ok/sampled_20000/mesh/s0239_Segment_1.stl,0.061094161802530286,siren,128,3,15.0,15.0,5e-05,200,2048,256,ok
0.003962567639671451,0.0001186256355503526,0.972497768117148,0.9597635732425737,0.0002372512711007052,0.9701898097991943,0.984869376627616,True,False,111078,222040,s0243,2024,/home/bsc18/workplace/dataset/Totalsegmentator_dataset_v201_Liver/ok/sampled_20000/npy/3D_Reconstruction/s0243_Segment_1.npy,/home/bsc18/workplace/dataset/Totalsegmentator_dataset_v201_Liver/ok/sampled_20000/mesh/s0243_Segment_1.stl,0.059021154069900515,siren,128,3,15.0,15.0,5e-05,200,2048,256,ok
0.0032870298320470293,3.102047486350303e-05,0.9746123656795298,0.9838947235984289,6.204094972700606e-05,0.973391592502594,0.9865164100486223,False,False,163357,326654,s0250,2024,/home/bsc18/workplace/dataset/Totalsegmentator_dataset_v201_Liver/ok/sampled_20000/npy/3D_Reconstruction/s0250_Segment_1.npy,/home/bsc18/workplace/dataset/Totalsegmentator_dataset_v201_Liver/ok/sampled_20000/mesh/s0250_Segment_1.stl,0.0642042479634285,siren,128,3,15.0,15.0,5e-05,200,2048,256,ok
0.004253796816567723,0.00012240262246364088,0.9737466551262044,0.9633686963373858,0.00024480524492728176,0.9750896096229553,0.9873877211415245,True,False,154848,309576,s0287,2024,/home/bsc18/workplace/dataset/Totalsegmentator_dataset_v201_Liver/ok/sampled_20000/npy/3D_Reconstruction/s0287_Segment_1.npy,/home/bsc18/workplace/dataset/Totalsegmentator_dataset_v201_Liver/ok/sampled_20000/mesh/s0287_Segment_1.stl,0.056464033126831056,siren,128,3,15.0,15.0,5e-05,200,2048,256,ok
0.003223539479788845,4.934083350158878e-05,0.9773612186045875,0.9753230591080504,9.868166700317756e-05,0.9702051877975464,0.984877315758506,True,False,101928,203772,s0324,2024,/home/bsc18/workplace/dataset/Totalsegmentator_dataset_v201_Liver/ok/sampled_20000/npy/3D_Reconstruction/s0324_Segment_1.npy,/home/bsc18/workplace/dataset/Totalsegmentator_dataset_v201_Liver/ok/sampled_20000/mesh/s0324_Segment_1.stl,0.05653406024575233,siren,128,3,15.0,15.0,5e-05,200,2048,256,ok
0.003676532599569706,6.552685161724768e-05,0.9807397900709596,0.9746733191149025,0.00013105370323449536,0.9786419868469238,0.9892057110301906,True,False,175502,350884,s0369,2024,/home/bsc18/workplace/dataset/Totalsegmentator_dataset_v201_Liver/ok/sampled_20000/npy/3D_Reconstruction/s0369_Segment_1.npy,/home/bsc18/workplace/dataset/Totalsegmentator_dataset_v201_Liver/ok/sampled_20000/mesh/s0369_Segment_1.stl,0.052885390627384184,siren,128,3,15.0,15.0,5e-05,200,2048,256,ok
