run_name,n,init_type,epochs,mean_chamfer_l1,std_chamfer_l1,mean_viou,std_viou,mean_fscore,std_fscore,mean_final_loss,std_final_loss
siren_meta_epochs_10,3,meta,10,0.011218759072143434,0.0014255313704386664,0.840156356493632,0.04185713628120202,0.6089326570461134,0.04918718618412262,0.2984475980917613,0.016482149867107877
siren_random_epochs_10,3,random,10,0.009549247590361432,0.0014649882448131539,0.8671006759007772,0.0333792577350225,0.6895281291653484,0.05695710340691117,0.3420971954186757,0.010346607327241011
siren_meta_epochs_25,3,meta,25,0.007602344156993034,0.0006925970498055951,0.8889923890431722,0.029985437171999745,0.7901562846048091,0.048474724225502384,0.22587568952242532,0.014762039557714613
siren_random_epochs_25,3,random,25,0.006266218928783933,0.0008390158819493249,0.9176158905029297,0.022459407369750405,0.8749781074583799,0.029517102328472326,0.21276908553441362,0.010323795575692156
